觀望,"guānwàng (觀望, 观望)","straddle,pussyfoot,look on from sidelines ,swiver,hesitate,waver,look on,wait and see",top7/297.mp3
媳婦,"xífù (媳婦, 媳妇)","the wife of a relative of the younger generation's,wife of sb. of younger generation,daughter in law,son's wife",top7/298.mp3
露天,"lùtiān (露天, 露天)","in the open air,outdoors",top7/299.mp3
觀摩,"guānmó (觀摩, 观摩)",view and emulate,top7/300.mp3
韓,"hán (韓, 韩)",Korea,top7/301.mp3
招收,"zhāoshōu (招收, 招收)","recruit,take in",top7/302.mp3
最愛,"zuìài (最愛, 最爱)","favor,most favored",top7/303.mp3
移,"yí (移, 移)","removal,alteration,transform,shift,remove,movement,alter,change,move",top7/304.mp3
顯,"xiǎn (顯, 显)","demonstrate,be obvious,manifest,appear,display,show",top7/305.mp3
描繪,"miáohuì (描繪, 描绘)","depict,describe,portray",top7/306.mp3
當兵,"dāngbīng (當兵, 当兵)","soldier,serve in army,serve in the army,be a soldier",top7/307.mp3
書面,"shūmiàn (書面, 书面)","written,in written form,in writing",top7/308.mp3
商家,"shāngjiā (商家, 商家)",manager of inn/shop/etc.,top7/309.mp3
偏,"piān (偏, 偏)","stubbornly,on the contrary",top7/310.mp3
彗星,"huìxīng (彗星, 彗星)",comet,top7/311.mp3
添,"tiān (添, 添)","add,fuel,appose,addition,increase,have a baby",top7/312.mp3
盼望,"pànwàng (盼望, 盼望)","hope/long for,look forward to",top7/313.mp3
盆地,"péndì (盆地, 盆地)","pan,river basin,basin",top7/314.mp3
無知,"wúzhī (無知, 无知)","ignorant,stupid",top7/315.mp3
冒險,"màoxiǎn (冒險, 冒险)",take risks/chances,top7/316.mp3
乘客,"chéngkè (乘客, 乘客)","fare,rider,passenger",top7/317.mp3
制服,"zhìfú (制服, 制服)",uniform,top7/318.mp3
行人,"xíngrén (行人, 行人)","foot traffic,passerby,goer,pedestrian,pedestrian traffic,passenger",top7/319.mp3
任職,"rènzhí (任職, 任职)","assignment,be in office,serve,hold a position,hold a post",top7/320.mp3
光纖,"guāngxiān (光纖, 光纤)","glass fiber,optical fibre,fiber_optics,light guide,optical fiber,glass fibre",top7/321.mp3
攻,"gōng (攻, 攻)","assault,attack,censure,accuse",top7/322.mp3
住處,"zhùchù (住處, 住处)","domicile,hangout,dwelling,lodging,residency,domiciliation,diggings,abode,digs,quarters,habitation,lodgings,roost,living quarters,pad,residence",top7/323.mp3
行李,"xínglǐ (行李, 行李)","clobber,impedimenta,dunnage,luggage,baggage",top7/324.mp3
攻勢,"gōngshì (攻勢, 攻势)",offensive,top7/325.mp3
妨害,"fánghài (妨害, 妨害)","traverse,impair,bar,cumber,be harmful to,trammel,encumber,sabotage,molest,obstruct,blanket,impairment,disturb,jeopardize,annoy,put in jeopardy",top7/326.mp3
恰當,"qiàdàng (恰當, 恰当)","appropriate,proper,suitable,fitting",top7/327.mp3
製成,"zhìchéng (製成, 制成)","hew,make,successfully complete",top7/328.mp3
轎車,"jiàochē (轎車, 轿车)","horse drawn carriage,saloon,passenger car,car,limousine,carriage,coach,bus,sedan",top7/329.mp3
驗證,"yànzhèng (驗證, 验证)",test and verify,top7/330.mp3
市鎮,"shìzhèn (市鎮, 市镇)","small town,town",top7/331.mp3
心思,"xīnsī (心思, 心思)","thought, idea, thinking, state of mind, mood",top7/332.mp3
心意,"xīnyì (心意, 心意)","regard, kindly feeling, intention, purpose",top7/333.mp3
少見,"shǎojiàn (少見, 少见)","rare,seldom seen,unique",top7/334.mp3
化為,"huàwéi (化為, 化为)",become,top7/335.mp3
趕到,"gǎndào (趕到, 赶到)","leave for,hurry to",top7/336.mp3
廠牌,"chǎngpái (廠牌, 厂牌)",brand name,top7/337.mp3
線索,"xiànsuǒ (線索, 线索)","track,thread,cue,lead,handhold,purchase,scent,train of thought,clue,trail,key,clew,pointer",top7/338.mp3
嘉義,"jiāyì (嘉義, 嘉义)",Chia yi a county in Taiwan,top7/339.mp3
道歉,"dàoqiàn (道歉, 道歉)",apologize,top7/340.mp3
經典,"jīngdiǎn (經典, 经典)","canon,classic,classics,sutra,scriptures,scripture,Bible",top7/341.mp3
子弟,"zǐdì (子弟, 子弟)","sons and younger brothers,children,juniors",top7/342.mp3
對面,"duìmiàn (對面, 对面)",opposite,top7/343.mp3
脾氣,"píqì (脾氣, 脾气)","kidney,dispose,irritation,surliness,behavior,temper,pique,habit,mould,irritability,bile,bad temper,biliousness,temperament,characteristic,dander,pettishness,disposition,stubborn disposition,blood,snappishness,proclivity,peevishness,grain",top7/344.mp3
想像力,"xiǎngxiànglì (想像力, 想像力)","imaginative power,imaginative power/faculty,imaginativeness,vision,imagination,fancy,ideality,imaginative faculty,faculty",top7/345.mp3
補習,"bǔxí (補習, 补习)",take lessons after school/work,top7/346.mp3
運氣,"yùnqì (運氣, 运气)","fortune,luck",top7/347.mp3
對比,"duìbǐ (對比, 对比)","ratio,correlation",top7/348.mp3
數據機,"shùjùjī (數據機, 数据机)",modem,top7/349.mp3
影展,"yǐngzhǎn (影展, 影展)","film exhibition,film fair,film fair/festival,photographic exhibition,film festival,photo exhibition,festival",top7/350.mp3
窗口,"chuāngkǒu (窗口, 窗口)","window,wicket,ticket window",top7/351.mp3
一般來說,"yībānláishuō (一般來說, 一般来说)",generally speaking,top7/352.mp3
山脈,"shānmài (山脈, 山脉)",mountain range,top7/353.mp3
民主化,"mínzhǔhuà (民主化, 民主化)",democratize,top7/354.mp3
千萬,"qiānwàn (千萬, 千万)","det.: ten million, tens of millions",top7/355.mp3
打架,"dǎjià (打架, 打架)","struggle,scrap,wrangle,fight,come to blows,box,scuffle,brawl",top7/356.mp3
土著,"tǔzhù (土著, 土著)","original inhabitants, aboriginals",top7/357.mp3
充裕,"chōngyū (充裕, 充裕)",abundant,top7/358.mp3
靈感,"línggǎn (靈感, 灵感)","motive,afflatus,rage,breathing,brainwave,muse,inspiration,brainchild",top7/359.mp3
鮮明,"xiānmíng (鮮明, 鲜明)","bright of color ,distinct,distinctive",top7/360.mp3
正當,"zhèngdāng (正當, 正当)","proper,legitimate",top7/361.mp3
局勢,"júshì (局勢, 局势)",situation,top7/362.mp3
細膩,"xìnì (細膩, 细腻)","fine and smooth,exquisite,minute",top7/363.mp3
連帶,"liándài (連帶, 连带)",jointly,top7/364.mp3
務實,"wùshí (務實, 务实)","deal with concrete matters relating to work,try to be practical/pragmatic,pragmatic,try to be pragmatic,try to be practical,deal with concrete matters",top7/365.mp3
國畫,"guóhuà (國畫, 国画)",trad. Ch. painting,top7/366.mp3
推測,"tuīcè (推測, 推测)","infer,conjecture,guess",top7/367.mp3
欲望,"yūwàng (欲望, 欲望)","appetence,indirect request,wish,appetite,stomach,concupiscence,desire,Kama,appetency,hunger,thirst,lech,orexis,rage,passion",top7/368.mp3
頒發,"bānfā (頒發, 颁发)","issue,promulgate,award",top7/369.mp3
逐年,"zhúnián (逐年, 逐年)","all the year round,for years,all year,year after year,year in year out",top7/370.mp3
雨水,"yǔshuǐ (雨水, 雨水)","rain,Rainwater,rainwater,Rainwater second solar term ,rainfall,Rain water 2nd solar term",top7/371.mp3
配備,"pèibèi (配備, 配备)",equipment,top7/372.mp3
亞太,"yǎtài (亞太, 亚太)",Asia Pacific region,top7/373.mp3
奠定,"diàndìng (奠定, 奠定)","establish,settle",top7/374.mp3
大王,"dàiwáng (大王, 大王)","king, magnate",top7/375.mp3
開展,"kāizhǎn (開展, 开展)","develop,launch,unfold",top7/376.mp3
保健,"bǎojiàn (保健, 保健)","health care,health protection,care for one's health",top7/377.mp3
忽,"hū (忽, 忽)",suddenly,top7/378.mp3
存款,"cúnkuǎn (存款, 存款)","deposit,bank saving",top7/379.mp3
走向,"zǒuxiàng (走向, 走向)","trend,run,alignment,strike",top7/380.mp3
妙,"miào (妙, 妙)","wonderful,excellent,fine,ingenious,clever,subtle",top7/381.mp3
吾,"wú (吾, 吾)",I,top7/382.mp3
垃圾場,"lèsèchǎng (垃圾場, 垃圾场)","rubbish dump,garbage heap,dump,tip,crematory,garbage dump,wasteyard,refuse,refuse heap,trash dump",top7/383.mp3
重重,"chóngchóng (重重, 重重)","layer upon layer,ring upon ring",top7/384.mp3
亮麗,"liànglì (亮麗, 亮丽)","beautiful,remarkable,brilliant,splendid,smart",top7/385.mp3
海關,"hǎiguān (海關, 海关)","chophouse,customhouse,customshouse,custom,haikwan,customs,douane",top7/386.mp3
美景,"měijǐng (美景, 美景)","vision,beauty_spot,beautiful sight,beautiful scenery",top7/387.mp3
果真,"guǒzhēn (果真, 果真)","really,as expected",top7/388.mp3
首要,"shǒuyào (首要, 首要)","chief,paramountcy,premiership,primacy,of first importance",top7/389.mp3
音樂廳,"yīnyuètīng (音樂廳, 音乐厅)","odeum,concert hall,music_hall,lyceum,auditorium,odeon,music hall",top7/390.mp3
苗栗,"miáolì (苗栗, 苗栗)",Miaoli a county inTaiwan,top7/391.mp3
欺騙,"qīpiàn (欺騙, 欺骗)","cheat,dupe",top7/392.mp3
幸好,"xìnghǎo (幸好, 幸好)","fortunately,luckily",top7/393.mp3
辦桌,"bànzhuō (辦桌, 办桌)",entertain guests at banquet,top7/394.mp3
澳門,"àomén (澳門, 澳门)",Aomen Macao,top7/395.mp3
震盪,"zhèndàng (震盪, 震荡)","shake,shock,quake",top7/396.mp3
暴露,"pùlù (暴露, 暴露)","unmask,divulge,expose,develop,bewray,unhood,unhusk,uncover,lay bare,show_up,reveal,flash,uncase,debunk,discover,unkennel,revelation,betray,give_away,unveil",top7/397.mp3
熱帶,"rèdài (熱帶, 热带)","tropical zone,Torrid Zone,savanna,torrid,the tropics,the torrid zone,tropical_zone,tropical,tropic,tropics",top7/398.mp3
戰事,"zhànshì (戰事, 战事)","war,hostilities",top7/399.mp3
製,"zhì (製, 制)","make,manufacture,create",top7/400.mp3
緣,"yuán (緣, 缘)","fate,predestination",top7/401.mp3
夕陽,"xìyáng (夕陽, 夕阳)",setting sun,top7/402.mp3
人道,"réndào (人道, 人道)",human sympathy,top7/403.mp3
下課,"xiàkè (下課, 下课)","finish class,get out of class",top7/404.mp3
心胸,"xīnxiōng (心胸, 心胸)",breadth of mind,top7/405.mp3
尺,"chǐ (尺, 尺)",m.[standard],top7/406.mp3
諮商,"zīshāng (諮商, 谘商)","confer,discuss,negotiate",top7/407.mp3
想不到,"xiǎngbúdào (想不到, 想不到)",unable to anticipate,top7/408.mp3
感官,"gǎnguān (感官, 感官)","sentience,sensory faculty,sensation,sense/sensory organ,sensory organ,sentiency,sense organ,sense",top7/409.mp3
號召,"hàozhào (號召, 号召)","call,appeal for supporters",top7/410.mp3
週年,"zhōunián (週年, 週年)",m.[standard],top7/411.mp3
緣故,"yuángù (緣故, 缘故)","score,grounds,reason,cause,sake",top7/412.mp3
道家,"dàojiā (道家, 道家)","Taoist,Taoist school,Daoist school,Daoist religion,Daoist school/religion,religion",top7/413.mp3
號稱,"hàochēng (號稱, 号称)","be known as,claim to be",top7/414.mp3
睡著,"shuìzháo (睡著, 睡着)","asleep,fall_asleep,go_off,nod off,drift off,doze off,fall asleep,dope off,flake,drowse off,conk,dormant,flake out,drop off",top7/415.mp3
增長,"zēngzhǎng (增長, 增长)","increase,grow",top7/416.mp3
報案,"bàoàn (報案, 报案)",report case to security authorities,top7/417.mp3
黑白,"hēibái (黑白, 黑白)","black and white,right and wrong,good and bad",top7/418.mp3
充足,"chōngzú (充足, 充足)",ample,top7/419.mp3
疼痛,"téngtòng (疼痛, 疼痛)","pain,soreness,fester,suffer,hurt,ache,sore",top7/420.mp3
簡稱,"jiǎnchēng (簡稱, 简称)",be called sth. for short,top7/421.mp3
髒,"zāng (髒, 脏)","dirty,squalid,smudge,filthy,smutch,blur,smear",top7/422.mp3
簽署,"qiānshǔ (簽署, 签署)",sign/initial a document,top7/423.mp3
簽證,"qiānzhèng (簽證, 签证)",visa,top7/424.mp3
體操,"tǐcāo (體操, 体操)","jerk,physical exertion,workout,exercise,physical_exercise,gymnastic,calisthenics,exercising,gymnastics,physical exercise,gym",top7/425.mp3
搬,"bān (搬, 搬)","copy mechanically,remove,apply indiscriminately,take away,transfer,move,move house",top7/426.mp3
真誠,"zhēnchéng (真誠, 真诚)","sincere,genuine,true",top7/427.mp3
衰退,"shuāituì (衰退, 衰退)","fail,decline",top7/428.mp3
陳情,"chénqíng (陳情, 陈情)",state the situation/truth,top7/429.mp3
高職,"gāozhí (高職, 高职)","professional school,college,quality,technical",top7/430.mp3
絕,"jué (絕, 绝)","extremely,most,absolutely,in the least,by any means,on any account",top7/431.mp3
鄉民,"xiāngmín (鄉民, 乡民)","countryside,villager",top7/432.mp3
新埔,"xīnbǔ (新埔, 新埔)",Hsin pu a town in Taiwan,top7/433.mp3
無力,"wúlì (無力, 无力)","powerless,feel weak,lack strength,incapable",top7/434.mp3
媒介,"méijiè (媒介, 媒介)","vehicle,transmission,media,intermediary,instrumentality,means,channel,ministry,mediacy,mediateness,agency,meeja,implement,medium",top7/435.mp3
鄭,"zhèng (鄭, 郑)","Zheng,Surname",top7/436.mp3
貴,"guì (貴, 贵)",det.: your courteous usage,top7/437.mp3
計有,"jìyǒu (計有, 计有)","calculate in advance,estimate",top7/438.mp3
無從,"wúcóng (無從, 无从)",unable to,top7/439.mp3
園地,"yuándì (園地, 园地)","special page in periodical,special section in periodical,park/garden area,special section,croft,page in periodical,garden area,special section/page in periodical,garden plot,park area,field,scope,park",top7/440.mp3
燦爛,"cànlàn (燦爛, 灿烂)","brilliant,glitter,splendid,resplend,resplendent,magnificent",top7/441.mp3
墨西哥,"mòxīgē (墨西哥, 墨西哥)",Mexico,top7/442.mp3
課本,"kèběn (課本, 课本)","text edition,textbook,text,school text,schoolbook",top7/443.mp3
抗日,"kàngrì (抗日, 抗日)",resistance against Japan,top7/444.mp3
領土,"lǐngtǔ (領土, 领土)","demesne,country,nation,realm,soli,landgrave,princedom,territory,emirate,domain,state,seigneury,estate,seignory,territoriality,acres,possession,signory,territorial,province,landed estate,dominion,land",top7/445.mp3
尷尬,"gāngà (尷尬, 尴尬)","awkward,embarrassed",top7/446.mp3
齊全,"qíquán (齊全, 齐全)","all in readiness,assort,complete",top7/447.mp3
榮獲,"rónghuò (榮獲, 荣获)",have the honor to win,top7/448.mp3
學界,"xuéjiè (學界, 学界)","educational,educational circles,academic circles,educational/academic circles,literati",top7/449.mp3
運,"yùn (運, 运)","transportation,wield,transport,revolve,utilize,use,dribble,bear,carry,utilization",top7/450.mp3
定案,"dìngàn (定案, 定案)","pass,decide on,reach verdict",top7/451.mp3
地域,"dìyū (地域, 地域)","tract,area,latitude,quarter,territory,climate,region,scope,district,terrain,climactic",top7/452.mp3
外部,"wàibù (外部, 外部)","outer,surface,external,outwall,outside,exterior",top7/453.mp3
門診,"ménzhěn (門診, 门诊)",outpatient service,top7/454.mp3
存取,"cúnqǔ (存取, 存取)",access data,top7/455.mp3
宜蘭縣,"yílánxiàn (宜蘭縣, 宜兰县)",I Lan county of Taiwan,top7/456.mp3
列車,"lièchē (列車, 列车)",train,top7/457.mp3
多樣,"duōyàng (多樣, 多样)","diverse,multiform,various",top7/458.mp3
來訪,"láifǎng (來訪, 来访)",come to visit/call,top7/459.mp3
成份,"chéngfèn (成份, 成份)","composition,ingredient,one's profession or economic status,component part,part,chemistry,constituent,one's class status,component,note",top7/460.mp3
連上,"liánshàng (連上, 连上)","link,connect",top7/461.mp3
計較,"jìjiào (計較, 计较)","argue,arguement,wrangle,care,dispute,think over,haggle over,haggling over,mind,fuss about,discuss in minute detail",top7/462.mp3
金瓜石,"jīnguāshí (金瓜石, 金瓜石)",a scenic spots in north Taiwan,top7/463.mp3
後遺症,"hòuyízhèng (後遺症, 后遗症)","aftereffect,hangover,sequela,sequelae",top7/464.mp3
玫瑰,"méiguī (玫瑰, 玫瑰)","rosebush,rose",top7/465.mp3
科學園區,"kēxuéyuánqū (科學園區, 科学园区)",Sciense Based Industrial Park,top7/466.mp3
負荷,"fùhè (負荷, 负荷)","load,charge,weight",top7/467.mp3
包裝,"bāozhuāng (包裝, 包装)","pack, dress up",top7/468.mp3
派出所,"pàichūsuǒ (派出所, 派出所)","police_station,police headquarters,police substation,police office,local police station,station house,substation,police station",top7/469.mp3
抬,"tái (抬, 抬)","lift,betray,carry together ,raise,carry,argue for the sake of arguing",top7/470.mp3
流氓,"liúmáng (流氓, 流氓)","roughscuff,rip,yobbo,badmash,swashbuckler,rascal,riffraff,scamp,raff,rapscallion,rogue,rowdy,hooliganism,cur,picaroon,varmint,yobo,ruffian,hector,roughneck,gaolbird,scalawag,gorilla,no good,scallywag,hoodlum,limmer,tearaway,blackguard,picaro,hooligan,hessian,bullyboy,rascallion,indecency,bully,plug ugly,shoulder hitter,dingbat,caird,tough,varlet,sc",top7/471.mp3
言語,"yányǔ (言語, 言语)","spoken language,speech",top7/472.mp3
升值,"shēngzhí (升值, 升值)","revalue, appreciate",top7/473.mp3
四川,"sìchuān (四川, 四川)","Szechwan,Szechuan,Sichuan province,Sichuan",top7/474.mp3
不及,"bùjí (不及, 不及)",less than,top7/475.mp3
加油,"jiāyóu (加油, 加油)","gas,lubricate,oil,refuel,gas up,embolden,accelerate,lubrication,fuel,cheer,recreate,hearten,make an extra effort",top7/476.mp3
外型,"wàixíng (外型, 外型)","profile,contour,appearance,external form",top7/477.mp3
大氣,"dàqì (大氣, 大气)","atmosphere, air, grand air, heavy breathing",top7/478.mp3
應該,"yīnggāi (應該, 应该)","right,proper",top7/479.mp3
聆聽,"língtīng (聆聽, 聆听)","hear,listen,listen carefully,breathe_in,listen respectfully",top7/480.mp3
猛,"měng (猛, 猛)","suddenly,abruptly",top7/481.mp3
素材,"sùcái (素材, 素材)","material,source material,medium",top7/482.mp3
深思,"shēnsī (深思, 深思)","ruminate,politic,chew,ponder deeply,consider carefully,speculate,bethink,rumination,chew the cud,perpend",top7/483.mp3
脖子,"bózi5 (脖子, 脖子)","cervix,neck",top7/484.mp3
書包,"shūbāo (書包, 书包)","bag,book bag,satchel,schoolbag",top7/485.mp3
捧,"pěng (捧, 捧)","hold/carry sth. level in both hands,boost,boast,exalt,flatter",top7/486.mp3
理所當然,"lǐsuǒdāngrán (理所當然, 理所当然)","of course,naturally",top7/487.mp3
劃分,"huàfēn (劃分, 划分)","divide,differentiate",top7/488.mp3
國際性,"guójìxìng (國際性, 国际性)","international,internationalism,international character,internationality",top7/489.mp3
規律,"guīlù (規律, 规律)","law,regular pattern",top7/490.mp3
速率,"sùlù (速率, 速率)","velocity,speed,rate",top7/491.mp3
省籍,"shěngjí (省籍, 省籍)",native/birth place,top7/492.mp3
稀飯,"xīfàn (稀飯, 稀饭)","gruel,rice/millet gruel,rice,congee,porridge,millet gruel,rice gruel",top7/493.mp3
阿里山,"ālǐshān (阿里山, 阿里山)",A Li mountain,top7/494.mp3
發音,"fāyīn (發音, 发音)","pronunciation,articulation",top7/495.mp3
極度,"jídù (極度, 极度)","extremely,plaguey,exceedingly,deadly,vitally,to the utmost,passing,plaguily,badly,plaguy",top7/496.mp3
照明,"zhàomíng (照明, 照明)",illuminate,top7/497.mp3
開放式,"kāifàngshì (開放式, 开放式)",be open to general public or outside world,top7/498.mp3
禁忌,"jìnjì (禁忌, 禁忌)","tabu,vetanda,taboo,nono,contraindication",top7/499.mp3
場景,"chángyǐng (場景, 场景)","stage set,set,scenery,spectacle,scene,setting,set decoration",top7/500.mp3
光碟機,"guāngdiéjī (光碟機, 光碟机)",CD ROM,top7/501.mp3
吸引力,"xīyǐnlì (吸引力, 吸引力)","chemical attraction,seduction,affinity,fascination,charm,prestige,attractive feature,traction,attractive force,drawing power,appeal,magnetism,attractiveness,appealingness,attraction",top7/502.mp3
光芒,"guāngmáng (光芒, 光芒)","ray_of_light,rays of light,brilliant ray,radiance",top7/503.mp3
批判,"pīpàn (批判, 批判)",critique,top7/504.mp3
光明,"guāngmíng (光明, 光明)","bright,promising,openhearted,guileless",top7/505.mp3
行走,"xíngzǒu (行走, 行走)","mooch,tread,go,make,navigate,go on foot,walk",top7/506.mp3
低廉,"dīlián (低廉, 低廉)","cheap,low priced",top7/507.mp3
改成,"gǎichéng (改成, 改成)","change ... into,turn... into,change to",top7/508.mp3
冷氣,"lěngqì (冷氣, 冷气)",air conditioning,top7/509.mp3
冰箱,"bīngxiāng (冰箱, 冰箱)","frig,electric refrigerator,fridge,freezer,refrigerator,deepfreeze,icebox,reefer,cooler,refrigeratory",top7/510.mp3
兼具,"jiānjù (兼具, 兼具)","unite,have both...and...",top7/511.mp3
多餘,"duōyū (多餘, 多余)","spare,redundant,unnecessary,superfluous,uncalled for,surplus",top7/512.mp3
致詞,"zhìcí (致詞, 致词)",make a speech,top7/513.mp3
多多,"duōduō (多多, 多多)",more,top7/514.mp3
自私,"zìsī (自私, 自私)","selfish,self centered",top7/515.mp3
親近,"qīnjìn (親近, 亲近)","hobnob,hang out,affiliate,close,be close to,know,be on intimate terms with,intimate",top7/516.mp3
保證,"bǎozhèng (保證, 保证)",guarantee,top7/517.mp3
洽詢,"qiàxún (洽詢, 洽询)",talk over with,top7/518.mp3
保,"bǎo (保, 保)","keep,maintenance,preserve soil moisture,stand guarantor,defend,protection,ensure,stand guarantor for sb.,preserve,preservation,warrant,bail,defence,protect,maintain,seek,guarantee",top7/519.mp3
附,"fù (附, 附)","comply with,agree to,appose,attachment,enclose,get close to,enclosure,depend on,add,be near,rely on,attach",top7/520.mp3
辦事處,"bànshìchù (辦事處, 办事处)","office,agency",top7/521.mp3
封面,"fēngmiàn (封面, 封面)","lid,book binding,title page of thread bound book,front cover,front and back cover of book,back,cover,binding,title page",top7/522.mp3
自稱,"zìchēng (自稱, 自称)","purport,claim to be,give_out,profess,call oneself",top7/523.mp3
小子,"xiǎozi5 (小子, 小子)","boy, guy, fellow",top7/524.mp3
鑑於,"jiànyú (鑑於, 鉴于)","conj.: in view of,seeing that",top7/525.mp3
瞪,"dèng (瞪, 瞪)","open wide,glom,stare,open one's eyes wide,stare at,glower,open one's eyes wide,glare",top7/526.mp3
驅動,"qūdòng (驅動, 驱动)","prompt,urge,spur on,drive",top7/527.mp3
叢林,"cónglín (叢林, 丛林)","underbrush,chaparral,bosquet,brake,bosk,jungle,forest,copse,jungly,brushwood,grove,thickset,underwood,thicket,mott,Budd. monastery",top7/528.mp3
顯示出,"xiǎnshìchū (顯示出, 显示出)","demonstrate,manifest,reveal,display,show",top7/529.mp3
卅,"sà (卅, 卅)",det.: thirty,top7/530.mp3
方針,"fāngzhēn (方針, 方针)","policy, guiding principle",top7/531.mp3
考古學,"kǎogǔxué (考古學, 考古学)","archeology,archaeology,archaeological,palaeology,paleology",top7/532.mp3
上游,"shàngyóu (上游, 上游)","upper reaches of river, advanced position",top7/533.mp3
蟑螂,"zhāngláng (蟑螂, 蟑螂)","blackbeetle,Asiatic cockroach,oriental cockroach,oriental roach,Blatta orientalis,cockroach,roach",top7/534.mp3
戶籍,"hùjí (戶籍, 户籍)","census register, registered permanent residence",top7/535.mp3
公家,"gōngjiā (公家, 公家)",state/public side,top7/536.mp3
廢紙,"fèizhǐ (廢紙, 废纸)",wastepaper,top7/537.mp3
精華,"jīnghuá (精華, 精华)","elite,prime,cream,plum,wale,goodness,distillation,substance,pink,quintessence,distillate,flower,extract,essence,gem,pick,marrow,soul,elixir",top7/538.mp3
獲利,"huòlì (獲利, 获利)",profit,top7/539.mp3
嗩吶,"suǒnà (嗩吶, 唢呐)",trumpet like wind instrument,top7/540.mp3
增多,"zēngduō (增多, 增多)",increase in number/quantity,top7/541.mp3
醒,"xǐng (醒, 醒)","waken,come to,wake up,sober up,be clear in mind,regain consciousness,wake,be awake,awaken,arouse,come alive,awake,be striking to the eye",top7/542.mp3
說明會,"shuōmínghuì (說明會, 说明会)","news conference,briefing",top7/543.mp3
蓮花,"liánhuā (蓮花, 莲花)","sacred lotus,lotus,Nelumbo nucifera,lotus flower,Indian lotus",top7/544.mp3
下游,"xiàyóu (下游, 下游)","lower reaches of river , lower level",top7/545.mp3
劇情,"jùqíng (劇情, 剧情)","story line,story,plot,gut",top7/546.mp3
回檔,"huídǎng (回檔, 回档)",rise again after a fall ; pick up,top7/547.mp3
匹,"pī (匹, 匹)",m.[general],top7/548.mp3
一連,"yīlián (一連, 一连)","in a row, in succession, running",top7/549.mp3
召集,"zhàojí (召集, 召集)","call together, convene",top7/550.mp3
正視,"zhèngshì (正視, 正视)","face squarely,face,face up to,look squarely at,envisage",top7/551.mp3
擦,"cā (擦, 擦)","swab,shave,spread on,scrape,apply sth. on,spread sth. on,touch lightly,wipe,grate,rub,put/spread on,brush past,brush,obliterate,chafe,efface,sweep,scratch,fray,put on,apply,besmear,put,polish,scrape into shreds,fret,scrub,mop,erase",top7/552.mp3
廢除,"fèichú (廢除, 废除)","abolish,abrogate,repeal",top7/553.mp3
蔣公,"jiǎnggōng (蔣公, 蒋公)",Kuomingtang party leader and head of Nationalist Government in mainland China and Taiwan,top7/554.mp3
環保署,"huánbǎoshǔ (環保署, 环保署)",Environmental Protection Administration,top7/555.mp3
實體,"shítǐ (實體, 实体)","essence,reality,entity,substantive,substantiality,substantialness,existence,substratum,noumenon,substance,materiality",top7/556.mp3
寫實,"xiěshí (寫實, 写实)","paint realistically,realistic,write,write realistically,write or paint realistically",top7/557.mp3
搖頭,"yáotóu (搖頭, 摇头)",shake one's head,top7/558.mp3
婆婆,"pópó (婆婆, 婆婆)","husband's mother,mother in law,maternal grandmother",top7/559.mp3
介詞,"jiècí (介詞, 介词)",preposition,top7/560.mp3
牛肉,"nióuròu (牛肉, 牛肉)",beef,top7/561.mp3
父子,"fùzǐ (父子, 父子)",father and son,top7/562.mp3
片子,"piànzi5 (片子, 片子)","a roll of film, film, movie, record, album",top7/563.mp3
充電,"chōngdiàn (充電, 充电)","charge,electricize,refresh",top7/564.mp3
士兵,"shìbīng (士兵, 士兵)",rank and file soldiers,top7/565.mp3
旗下,"qíxià (旗下, 旗下)",those under one's command,top7/566.mp3
本能,"běnnéng (本能, 本能)","whim,appetence,vagary,instinct,instinctive,native ability,inherent aptitude,impulse,caprice,faculty",top7/567.mp3
學人,"xuérén (學人, 学人)","scholar,letters,student,learned person",top7/568.mp3
譜,"pǔ (譜, 谱)","musical notation,table,chart,design,guide",top7/569.mp3
賣給,"màigěi (賣給, 卖给)",sell,top7/570.mp3
戰略,"zhànluè (戰略, 战略)","stratagem,tactical,strategics,tactics,strategy",top7/571.mp3
選票,"xuǎnpiào (選票, 选票)",ballot,top7/572.mp3
政經,"zhèngjīng (政經, 政经)",politics and economy,top7/573.mp3
副院長,"fùyuànzhǎng (副院長, 副院长)","president of museum,subdean,subprincipal,etc. ,institute,vice director",top7/574.mp3
國產,"guóchǎn (國產, 国产)","made in China,made in our country,make domestically",top7/575.mp3
曲目,"qǔmù (曲目, 曲目)",title of music,top7/576.mp3
就此,"jiùcǐ (就此, 就此)","at this point,now,here and now,thus,thereon",top7/577.mp3
強度,"qiángdù (強度, 强度)","strength,intension,kick,degree,emphasis,intensity,depth,intensiveness",top7/578.mp3
掩埋場,"yǎnmáichǎng (掩埋場, 掩埋场)","nuisance ground,scrap heap",top7/579.mp3
政務,"zhèngwù (政務, 政务)","government affairs/administration,administration,government administration,affairs of state,government affairs",top7/580.mp3
風情,"fēngqíng (風情, 风情)","demeanour,flavor,information about wind,local customs,bearing,feelings,flirtatious expressions,amorous feelings",top7/581.mp3
前後,"qiánhòu (前後, 前后)","front and rear,around or about,altogether",top7/582.mp3
坐下來,"zuòxiàlái (坐下來, 坐下来)",sit down,top7/583.mp3
奇妙,"qímiào (奇妙, 奇妙)","wonderful,marvelous",top7/584.mp3
居多,"jūduō (居多, 居多)",be in majority,top7/585.mp3
